lon_ddeg,lat_ddeg,plot,owner
-149.6671028,68.03275833, farthest_spruce_1,olnes
-149.6714426,68.03242913, farthest_spruce_3,olnes
-149.6683528,68.032425, farthest_spruce_2,olnes
-149.7699528,67.98434722, dietrich_3,olnes
-149.7660111,67.98429722, dietrich_2,olnes
-149.7639611,67.98288889, dietrich_1,olnes
-149.8338194,67.93289722, kuyuktuvuk_1,olnes
-149.8364056,67.92915556, kuyuktuvuk_2,olnes
-149.8291806,67.92781667, kuyuktuvuk_3,olnes
-149.8341,67.83041667, jim_3,olnes
-149.8309833,67.82835278, jim_2,olnes
-149.8252361,67.82705278, jim_1,olnes
-149.7840556,67.77580278, poor_lynx_2,olnes
-149.7820611,67.77560833, poor_lynx_1,olnes
-149.7860833,67.77518333, poor_lynx_3,olnes
-149.7924917,67.61435833, koyukuk_1,olnes
-149.7967139,67.61333333, koyukuk_3,olnes
-149.7903639,67.61295, koyukuk_2,olnes
-149.8554694,67.51324167, gold_creek_3,olnes
-149.8502667,67.51245, gold_creek_2,olnes
-149.8492111,67.50981944, gold_creek_1,olnes
-150.0529528,67.486825, hammond_3,olnes
-150.0488194,67.48569722, hammond_2,olnes
-150.046575,67.48380833, hammond_1,olnes
-150.2339167,67.46413889, nolan_1,olnes
-150.2254889,67.46109167, nolan_2,olnes
-150.2066639,67.45601111, nolan_3,olnes
-150.1083639,67.41858056, hicker_1,olnes
-150.1075514,67.41758144, hicker_2,olnes
-150.1083666,67.41726575, hicker_3,olnes
-150.3425593,67.17215125, cathedral,difolco
-150.2884673,67.19904207, rosie,difolco
-150.1859256,67.2606794, slate,difolco
-150.3198429,67.45871225, wiseman,difolco
-150.0496327,67.48628377, jennie,difolco
-150.0389915,67.47705362, hammond,difolco
-149.8332601,67.5118562, gold,difolco
-149.7157125,68.0185764, 1A,fte_dendrometer
-149.7158801,68.01866753, 1B,fte_dendrometer
-149.7158444,68.01869568, 1C,fte_dendrometer
-149.7158619,68.01873473, 1D,fte_dendrometer
-149.715687,68.01876076, 1E,fte_dendrometer
-149.7155783,68.01865905, 1F,fte_dendrometer
-149.7372506,68.00580949, 2A,fte_dendrometer
-149.7372963,68.00587478, 2B,fte_dendrometer
-149.7372043,68.00593203, 2C,fte_dendrometer
-149.7371089,68.00593338, 2D,fte_dendrometer
-149.7370586,68.00582682, 2E,fte_dendrometer
-149.737,68.00581562, 2F,fte_dendrometer
-149.753005,67.99523279, 3A,fte_dendrometer
-149.7532278,67.99525099, 3B,fte_dendrometer
-149.7531794,67.9952947, 3C,fte_dendrometer
-149.7530947,67.99528714, 3D,fte_dendrometer
-149.7528057,67.99537241, 3E,fte_dendrometer
-149.7527013,67.99532514, 3F,fte_dendrometer
-149.7539154,67.99460256, 4A,fte_dendrometer
-149.7540795,67.99461088, 4B,fte_dendrometer
-149.7541543,67.9946215, 4C,fte_dendrometer
-149.7541227,67.99467299, 4D,fte_dendrometer
-149.7538957,67.99469923, 4E,fte_dendrometer
-149.7537876,67.99464945, 4F,fte_dendrometer
-149.7614532,67.98476257, 5A,fte_dendrometer
-149.761422,67.98491469, 5B,fte_dendrometer
-149.7613067,67.98496427, 5C,fte_dendrometer
-149.7612643,67.98499178, 5D,fte_dendrometer
-149.7612277,67.98480778, 5E,fte_dendrometer
-149.761294,67.98478403, 5F,fte_dendrometer
-149.7611259,67.97237083, 6A,fte_dendrometer
-149.7613167,67.97246241, 6B,fte_dendrometer
-149.7611843,67.97246024, 6C,fte_dendrometer
-149.7610109,67.97251772, 6D,fte_dendrometer
-149.7610062,67.97248572, 6E,fte_dendrometer
-149.7610346,67.97242282, 6F,fte_dendrometer
